,price,area,bedrooms,bathrooms,basement,airconditioning,parking,stories_cat
425,3360000,3185,2,1,yes,no,2,one
427,3332000,2145,3,1,yes,no,0,two
428,3325000,4040,2,1,no,no,1,one
429,3325000,4775,4,1,no,no,0,two
431,3290000,3180,4,1,yes,yes,0,two
434,3290000,3792,4,1,no,no,0,two
435,3290000,4040,2,1,no,no,0,one
436,3290000,2145,3,1,yes,no,0,two
437,3290000,5880,3,1,no,no,1,one
440,3234000,3640,4,1,yes,no,0,two
441,3220000,4370,3,1,no,no,0,two
442,3220000,2684,2,1,no,yes,1,one
445,3150000,3450,1,1,no,no,0,one
448,3150000,4095,2,1,no,no,2,one
450,3150000,3450,3,1,yes,no,0,two
451,3150000,6750,2,1,no,no,0,one
452,3150000,9000,3,1,no,no,2,two
453,3150000,3069,2,1,no,no,1,one
454,3143000,4500,3,1,no,yes,0,two
455,3129000,5495,3,1,yes,no,0,one
456,3118850,2398,3,1,no,no,0,one
458,3115000,3850,3,1,no,no,0,two
459,3115000,3500,2,1,no,no,0,one
460,3087000,8100,2,1,no,no,1,one
461,3080000,4960,2,1,yes,yes,0,one
464,3080000,4500,2,1,no,no,1,two
465,3045000,3800,2,1,no,no,0,one
467,3010000,3240,3,1,no,no,2,two
468,3010000,2835,2,1,no,no,0,one
469,3010000,4600,2,1,no,no,0,one
471,3010000,3750,3,1,no,no,0,two
473,3003000,8050,2,1,no,no,0,one
475,2961000,3000,2,1,no,no,0,two
476,2940000,5850,3,1,yes,no,1,two
477,2940000,4960,2,1,no,no,0,one
483,2940000,6615,3,1,no,no,0,two
485,2870000,3630,2,1,no,no,0,one
486,2870000,6000,2,1,no,no,0,one
487,2870000,5400,4,1,no,no,0,two
488,2852500,5200,4,1,no,no,0,more
492,2800000,2650,3,1,yes,no,1,two
493,2800000,3960,3,1,no,no,0,one
494,2730000,6800,2,1,no,no,0,one
495,2730000,4000,3,1,no,no,1,two
496,2695000,4000,2,1,no,no,0,one
497,2660000,3934,2,1,no,no,0,one
498,2660000,2000,2,1,no,no,0,two
500,2660000,2800,3,1,no,no,0,one
502,2660000,3480,2,1,no,no,1,one
503,2660000,4000,3,1,no,no,0,one
504,2653000,3185,2,1,no,yes,0,one
505,2653000,4000,3,1,no,yes,0,two
507,2590000,3600,2,1,no,no,0,one
508,2590000,4400,2,1,no,no,0,one
509,2590000,3600,2,2,yes,no,1,two
512,2520000,3000,2,1,no,no,0,two
513,2485000,4400,3,1,no,no,0,two
515,2450000,3210,3,1,yes,no,0,two
517,2450000,3000,2,1,no,no,1,one
519,2450000,4840,2,1,no,no,0,two
520,2450000,7700,2,1,no,no,0,one
522,2380000,2475,3,1,no,no,0,two
523,2380000,2787,4,2,no,no,0,two
524,2380000,3264,2,1,no,no,0,one
525,2345000,3640,2,1,no,no,0,one
526,2310000,3180,2,1,no,no,0,one
529,2275000,3970,3,1,yes,no,0,two
533,2100000,2400,3,1,no,no,0,two
534,2100000,3000,4,1,no,no,0,two
535,2100000,3360,2,1,no,no,1,one
537,1890000,1700,3,1,no,no,0,two
538,1890000,3649,2,1,no,no,0,one
540,1820000,3000,2,1,yes,no,2,one
542,1750000,3620,2,1,no,no,0,one
544,1750000,3850,3,1,no,no,0,two
